logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag
9.6,2.623,0.999,-0.5,,,,9.65,2.699,1.23,-0.224,,,,9.7,2.754,1.221,-0.249
9.6,2.625,1.023,-0.469,,,,9.65,2.703,1.288,-0.15,,,,9.7,2.753,1.199,-0.277
9.6,2.627,1.048,-0.437,,,,9.65,2.709,1.377,-0.04,,,,9.7,2.749,1.136,-0.359
9.6,2.63,1.076,-0.401,,,,9.65,2.718,1.476,0.084,,,,9.7,2.757,1.253,-0.21
9.6,2.634,1.122,-0.344,,,,9.65,2.73,1.662,0.325,,,,9.7,2.756,1.236,-0.23
9.6,2.638,1.192,-0.256,,,,9.65,2.745,1.87,0.596,,,,9.7,2.758,1.273,-0.184
9.6,2.643,1.25,-0.183,,,,9.65,2.75,2.019,0.79,,,,9.7,2.764,1.367,-0.066
9.6,2.644,1.203,-0.243,,,,9.65,2.761,2.181,0.997,,,,9.7,2.771,1.474,0.067
9.6,2.656,1.305,-0.116,,,,9.65,2.766,2.265,1.099,,,,9.7,2.78,1.611,0.242
9.6,2.677,1.661,0.341,,,,9.65,2.767,2.265,1.099,,,,9.7,2.793,1.787,0.471
9.6,2.69,1.896,0.647,,,,9.65,2.717,1.178,-0.294,,,,9.7,2.805,1.95,0.682
9.6,2.69,1.896,0.647,,,,9.65,2.688,0.905,-0.641,,,,9.7,2.81,2.096,0.872
9.6,2.634,0.914,-0.612,,,,9.65,2.61,0.646,-0.958,,,,9.7,2.821,2.258,1.079
9.6,2.608,0.728,-0.85,,,,9.65,2.622,0.666,-0.936,,,,9.7,2.831,2.397,1.247
9.6,2.516,0.563,-1.033,,,,9.65,2.68,0.815,-0.758,,,,9.7,2.837,2.474,1.338
9.6,2.531,0.574,-1.026,,,,9.65,2.73,1.21,-0.255,,,,9.7,2.784,1.338,-0.107
9.6,2.596,0.664,-0.93,,,,9.65,2.769,1.791,0.485,,,,9.7,2.751,1.008,-0.525
9.6,2.647,0.954,-0.563,,,,9.65,2.781,2.171,0.98,,,,9.7,2.673,0.715,-0.888
9.6,2.68,1.411,0.012,,,,9.65,2.789,2.363,1.215,,,,9.7,2.688,0.738,-0.863
9.6,2.704,1.841,0.571,,,,9.65,2.795,2.456,1.326,,,,9.7,2.745,0.927,-0.63
9.6,2.707,2.043,0.834,,,,9.65,2.803,2.515,1.397,,,,9.7,2.8,1.394,-0.039
